fir_id,fir_number,station_id,police_station,district,taluk,crime_type,ipc_sections,severity,registered_date,occurrence_date,occurrence_time,lat,lon,modus_operandi,status,io_officer,summary_text
FIR-0018,018/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Assault / Hurt,IPC 323; IPC 324,low,2025-11-15,2025-11-15,16:56:00,12.3221,76.28502,the accused caused hurt with a wooden club following a prior enmity,chargesheeted,PSI Rakesh Swamy,"Assault / Hurt reported at Hunsur, Mysuru on 2025-11-15: the accused caused hurt with a wooden club following a prior enmity."
FIR-0019,019/2026,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,House Burglary,IPC 454; IPC 457; IPC 380,medium,2026-06-06,2026-06-06,01:14:00,12.13977,76.66441,entry was gained through an unsecured rear window and the almirah was ransacked,closed,PSI Naveen Bhat,"House Burglary reported at Nanjangud, Mysuru on 2026-06-06: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0020,020/2025,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-08-09,2025-08-06,05:48:00,12.12742,76.66946,the complainant was induced to transfer money on the promise of a part-time job,chargesheeted,PSI Imran Prasad,"Cheating / Online Fraud reported at Nanjangud, Mysuru on 2025-08-06: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0021,021/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Narcotics (NDPS),NDPS 20; NDPS 22,high,2025-11-17,2025-11-15,00:50:00,12.31211,76.6512,a tip-off led to the seizure of contraband from a rented room,chargesheeted,PSI Manjunath Swamy,"Narcotics (NDPS) reported at Krishnaraja, Mysuru on 2025-11-15: a tip-off led to the seizure of contraband from a rented room."
FIR-0022,022/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Vehicle Theft,IPC 379,low,2024-11-28,2024-11-25,15:42:00,17.10025,77.0788,the motorcycle parked outside the residence was stolen during the night,under investigation,PSI Lakshmi Murthy,"Vehicle Theft reported at Chittapur, Kalaburagi on 2024-11-25: the motorcycle parked outside the residence was stolen during the night."
FIR-0023,023/2026,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Assault / Hurt,IPC 323; IPC 324,low,2026-02-28,2026-02-25,02:54:00,13.03165,77.58751,the accused caused hurt with a wooden club following a prior enmity,under investigation,PSI Kavitha Desai,"Assault / Hurt reported at RT Nagar, Bengaluru North on 2026-02-25: the accused caused hurt with a wooden club following a prior enmity."
FIR-0024,024/2025,PS-009,Aland Police Station,Kalaburagi,Aland,Robbery,IPC 392; IPC 397,high,2025-06-15,2025-06-12,14:13:00,17.56686,76.56421,the suspects threatened the complainant with a knife and took cash and a mobile phone,under investigation,PSI Rakesh Murthy,"Robbery reported at Aland, Kalaburagi on 2025-06-12: the suspects threatened the complainant with a knife and took cash and a mobile phone."
FIR-0025,025/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,House Burglary,IPC 454; IPC 457; IPC 380,medium,2026-01-10,2026-01-07,18:20:00,13.08635,77.60421,the grill of the ventilator was cut and gold ornaments and cash were taken,chargesheeted,PSI Manjunath Pujari,"House Burglary reported at Yelahanka, Bengaluru North on 2026-01-07: the grill of the ventilator was cut and gold ornaments and cash were taken."
FIR-0026,026/2026,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Chain Snatching,IPC 379; IPC 356,medium,2026-02-08,2026-02-06,16:55:00,12.31946,76.65658,pillion rider snatched the mangalsutra while the complainant was walking on the footpath,under investigation,PSI Girish Patil,"Chain Snatching reported at Krishnaraja, Mysuru on 2026-02-06: pillion rider snatched the mangalsutra while the complainant was walking on the footpath."
FIR-0027,027/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-06-09,2025-06-06,12:03:00,13.11622,77.59643,the complainant was induced to transfer money on the promise of a part-time job,closed,PSI Farhan Kumar,"Cheating / Online Fraud reported at Yelahanka, Bengaluru North on 2025-06-06: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0028,028/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Chain Snatching,IPC 379; IPC 356,medium,2025-09-15,2025-09-13,06:42:00,13.01353,77.57963,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Nagaraj Bhat,"Chain Snatching reported at Hebbal, Bengaluru North on 2025-09-13: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0029,029/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Vehicle Theft,IPC 379,low,2025-01-27,2025-01-25,06:49:00,12.31004,76.66838,the motorcycle parked outside the residence was stolen during the night,closed,PSI Pooja Desai,"Vehicle Theft reported at Krishnaraja, Mysuru on 2025-01-25: the motorcycle parked outside the residence was stolen during the night."
FIR-0030,030/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Vehicle Theft,IPC 379,low,2025-09-09,2025-09-06,02:03:00,17.11381,77.07525,the motorcycle parked outside the residence was stolen during the night,chargesheeted,PSI Santhosh Kamath,"Vehicle Theft reported at Chittapur, Kalaburagi on 2025-09-06: the motorcycle parked outside the residence was stolen during the night."
FIR-0031,031/2024,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Narcotics (NDPS),NDPS 20; NDPS 22,high,2024-12-25,2024-12-25,17:12:00,13.02545,77.58292,a tip-off led to the seizure of contraband from a rented room,closed,PSI Ananya Shetty,"Narcotics (NDPS) reported at Hebbal, Bengaluru North on 2024-12-25: a tip-off led to the seizure of contraband from a rented room."
FIR-0032,032/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Assault / Hurt,IPC 323; IPC 324,low,2025-09-10,2025-09-10,05:35:00,13.10622,77.58163,the accused caused hurt with a wooden club following a prior enmity,under investigation,PSI Vidya Kamath,"Assault / Hurt reported at Yelahanka, Bengaluru North on 2025-09-10: the accused caused hurt with a wooden club following a prior enmity."
FIR-0033,033/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Robbery,IPC 392; IPC 397,high,2025-12-30,2025-12-28,05:26:00,13.03155,77.61261,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,under investigation,PSI Shivakumar Prasad,"Robbery reported at Hebbal, Bengaluru North on 2025-12-28: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0034,034/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Narcotics (NDPS),NDPS 20; NDPS 22,high,2025-10-20,2025-10-19,19:21:00,12.28602,76.64061,a tip-off led to the seizure of contraband from a rented room,under investigation,PSI Farhan Kamath,"Narcotics (NDPS) reported at Krishnaraja, Mysuru on 2025-10-19: a tip-off led to the seizure of contraband from a rented room."
FIR-0035,035/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-02-07,2025-02-07,17:44:00,13.02794,77.60812,the lock of the main door was broken open while the house was locked and the family was away,chargesheeted,PSI Basavaraj Naik,"House Burglary reported at Hebbal, Bengaluru North on 2025-02-07: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0036,036/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Robbery,IPC 392; IPC 397,high,2025-08-19,2025-08-17,17:19:00,13.03515,77.60191,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,closed,PSI Ravi Gowda,"Robbery reported at Hebbal, Bengaluru North on 2025-08-17: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0037,037/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-03-20,2026-03-20,00:14:00,13.12049,77.5984,pillion rider snatched the mangalsutra while the complainant was walking on the footpath,chargesheeted,PSI Imran Gowda,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-03-20: pillion rider snatched the mangalsutra while the complainant was walking on the footpath."
FIR-0038,038/2026,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Vehicle Theft,IPC 379,low,2026-04-25,2026-04-22,02:20:00,17.1165,77.0986,the vehicle was taken from an unattended parking lot after the steering lock was broken,under investigation,PSI Rakesh Shetty,"Vehicle Theft reported at Chittapur, Kalaburagi on 2026-04-22: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0039,039/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Vehicle Theft,IPC 379,low,2025-08-09,2025-08-09,08:27:00,12.29146,76.63555,the motorcycle parked outside the residence was stolen during the night,chargesheeted,PSI Bhavya Pujari,"Vehicle Theft reported at Krishnaraja, Mysuru on 2025-08-09: the motorcycle parked outside the residence was stolen during the night."
FIR-0040,040/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Vehicle Theft,IPC 379,low,2025-08-27,2025-08-26,20:38:00,12.31758,76.65571,the motorcycle parked outside the residence was stolen during the night,chargesheeted,PSI Umesh Gowda,"Vehicle Theft reported at Krishnaraja, Mysuru on 2025-08-26: the motorcycle parked outside the residence was stolen during the night."
FIR-0041,041/2024,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-09-28,2024-09-28,11:39:00,13.05722,77.58394,the complainant was induced to transfer money on the promise of a part-time job,chargesheeted,PSI Anand Shetty,"Cheating / Online Fraud reported at Hebbal, Bengaluru North on 2024-09-28: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0042,042/2024,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Assault / Hurt,IPC 323; IPC 324,low,2024-10-26,2024-10-25,04:25:00,13.05685,77.61361,a quarrel over a parking dispute escalated and the complainant was assaulted,chargesheeted,PSI Naveen Gowda,"Assault / Hurt reported at Hebbal, Bengaluru North on 2024-10-25: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0043,043/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Robbery,IPC 392; IPC 397,high,2025-01-28,2025-01-26,23:36:00,13.0221,77.61379,the suspects threatened the complainant with a knife and took cash and a mobile phone,chargesheeted,PSI Suresh Bhat,"Robbery reported at Hebbal, Bengaluru North on 2025-01-26: the suspects threatened the complainant with a knife and took cash and a mobile phone."
FIR-0044,044/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-01-08,2025-01-05,17:21:00,13.10062,77.60573,the grill of the ventilator was cut and gold ornaments and cash were taken,under investigation,PSI Vidya Bhat,"House Burglary reported at Yelahanka, Bengaluru North on 2025-01-05: the grill of the ventilator was cut and gold ornaments and cash were taken."
FIR-0045,045/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-09-07,2025-09-06,02:23:00,13.03311,77.59762,the complainant was induced to transfer money on the promise of a part-time job,closed,PSI Girish Prasad,"Cheating / Online Fraud reported at Hebbal, Bengaluru North on 2025-09-06: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0046,046/2026,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Chain Snatching,IPC 379; IPC 356,medium,2026-03-30,2026-03-27,21:48:00,13.04398,77.61138,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Nagaraj Kumar,"Chain Snatching reported at Hebbal, Bengaluru North on 2026-03-27: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0047,047/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-02-27,2026-02-24,02:27:00,13.09824,77.58465,suspects on a motorcycle without a number plate snatched the chain near a bus stop,closed,PSI Manjunath Desai,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-02-24: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0048,048/2024,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-08-06,2024-08-06,07:21:00,13.10762,77.6094,the complainant was induced to transfer money on the promise of a part-time job,chargesheeted,PSI Ravi Swamy,"Cheating / Online Fraud reported at Yelahanka, Bengaluru North on 2024-08-06: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0049,049/2024,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,Assault / Hurt,IPC 323; IPC 324,low,2024-07-29,2024-07-27,10:47:00,17.32967,76.83504,the accused caused hurt with a wooden club following a prior enmity,under investigation,PSI Roopa Achar,"Assault / Hurt reported at Kalaburagi City, Kalaburagi on 2024-07-27: the accused caused hurt with a wooden club following a prior enmity."
FIR-0050,050/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Vehicle Theft,IPC 379,low,2025-12-16,2025-12-16,03:14:00,13.04282,77.50148,the vehicle was taken from an unattended parking lot after the steering lock was broken,under investigation,PSI Farhan Kamath,"Vehicle Theft reported at Peenya, Bengaluru North on 2025-12-16: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0051,051/2024,PS-009,Aland Police Station,Kalaburagi,Aland,Assault / Hurt,IPC 323; IPC 324,low,2024-09-12,2024-09-10,06:58:00,17.55989,76.55812,a quarrel over a parking dispute escalated and the complainant was assaulted,under investigation,PSI Ananya Hegde,"Assault / Hurt reported at Aland, Kalaburagi on 2024-09-10: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0052,052/2024,PS-009,Aland Police Station,Kalaburagi,Aland,Chain Snatching,IPC 379; IPC 356,medium,2024-09-16,2024-09-16,12:32:00,17.5858,76.58975,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Pooja Murthy,"Chain Snatching reported at Aland, Kalaburagi on 2024-09-16: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0053,053/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Assault / Hurt,IPC 323; IPC 324,low,2025-09-13,2025-09-11,23:11:00,13.11503,77.61558,a quarrel over a parking dispute escalated and the complainant was assaulted,chargesheeted,PSI Umesh Hegde,"Assault / Hurt reported at Yelahanka, Bengaluru North on 2025-09-11: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0054,054/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Narcotics (NDPS),NDPS 20; NDPS 22,high,2025-11-24,2025-11-22,09:31:00,13.1058,77.59618,a tip-off led to the seizure of contraband from a rented room,chargesheeted,PSI Yusuf Murthy,"Narcotics (NDPS) reported at Yelahanka, Bengaluru North on 2025-11-22: a tip-off led to the seizure of contraband from a rented room."
FIR-0055,055/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Chain Snatching,IPC 379; IPC 356,medium,2025-10-23,2025-10-21,05:01:00,13.03923,77.58005,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,under investigation,PSI Imran Achar,"Chain Snatching reported at Hebbal, Bengaluru North on 2025-10-21: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0056,056/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-10-29,2025-10-28,01:41:00,13.00741,77.57244,the complainant was induced to transfer money on the promise of a part-time job,under investigation,PSI Mahesh Rao,"Cheating / Online Fraud reported at RT Nagar, Bengaluru North on 2025-10-28: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0057,057/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Vehicle Theft,IPC 379,low,2025-08-05,2025-08-02,03:02:00,13.02858,77.6167,the two-wheeler was stolen from outside a commercial complex in broad daylight,closed,PSI Suresh Reddy,"Vehicle Theft reported at RT Nagar, Bengaluru North on 2025-08-02: the two-wheeler was stolen from outside a commercial complex in broad daylight."
FIR-0058,058/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Robbery,IPC 392; IPC 397,high,2025-02-16,2025-02-13,21:48:00,12.31097,76.2775,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,closed,PSI Basavaraj Murthy,"Robbery reported at Hunsur, Mysuru on 2025-02-13: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0059,059/2026,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Vehicle Theft,IPC 379,low,2026-06-22,2026-06-22,05:26:00,13.05814,77.57653,the two-wheeler was stolen from outside a commercial complex in broad daylight,chargesheeted,PSI Lokesh Swamy,"Vehicle Theft reported at Hebbal, Bengaluru North on 2026-06-22: the two-wheeler was stolen from outside a commercial complex in broad daylight."
FIR-0060,060/2026,PS-009,Aland Police Station,Kalaburagi,Aland,Robbery,IPC 392; IPC 397,high,2026-02-11,2026-02-10,01:42:00,17.58098,76.57695,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,under investigation,PSI Deepa Rao,"Robbery reported at Aland, Kalaburagi on 2026-02-10: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0061,061/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-02-20,2025-02-17,14:16:00,17.1082,77.09348,the lock of the main door was broken open while the house was locked and the family was away,chargesheeted,PSI Imran Kamath,"House Burglary reported at Chittapur, Kalaburagi on 2025-02-17: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0062,062/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-08-02,2025-08-01,14:21:00,12.28489,76.28085,payment was collected for goods advertised online which were never delivered,chargesheeted,PSI Girish Jadhav,"Cheating / Online Fraud reported at Hunsur, Mysuru on 2025-08-01: payment was collected for goods advertised online which were never delivered."
FIR-0063,063/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-04-08,2026-04-05,13:48:00,13.09229,77.60804,suspects on a motorcycle without a number plate snatched the chain near a bus stop,closed,PSI Harish Swamy,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-04-05: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0064,064/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Narcotics (NDPS),NDPS 20; NDPS 22,high,2025-10-10,2025-10-07,10:23:00,13.01392,77.50532,a tip-off led to the seizure of contraband from a rented room,chargesheeted,PSI Naveen Jadhav,"Narcotics (NDPS) reported at Peenya, Bengaluru North on 2025-10-07: a tip-off led to the seizure of contraband from a rented room."
FIR-0065,065/2025,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-09-20,2025-09-17,05:06:00,12.1113,76.68197,the complainant was induced to transfer money on the promise of a part-time job,under investigation,PSI Yusuf Bhat,"Cheating / Online Fraud reported at Nanjangud, Mysuru on 2025-09-17: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0066,066/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-12-26,2025-12-24,19:58:00,12.32184,76.63486,entry was gained through an unsecured rear window and the almirah was ransacked,closed,PSI Chetan Hegde,"House Burglary reported at Krishnaraja, Mysuru on 2025-12-24: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0067,067/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Chain Snatching,IPC 379; IPC 356,medium,2025-11-17,2025-11-16,06:23:00,17.13223,77.10608,pillion rider snatched the mangalsutra while the complainant was walking on the footpath,under investigation,PSI Bhavya Bhat,"Chain Snatching reported at Chittapur, Kalaburagi on 2025-11-16: pillion rider snatched the mangalsutra while the complainant was walking on the footpath."
FIR-0068,068/2026,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2026-05-03,2026-05-02,09:30:00,13.0442,77.59385,the complainant was induced to transfer money on the promise of a part-time job,chargesheeted,PSI Ramesh Reddy,"Cheating / Online Fraud reported at Hebbal, Bengaluru North on 2026-05-02: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0069,069/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-07-16,2025-07-14,05:38:00,13.05087,77.50023,the suspect posed as a bank official and obtained the OTP over a phone call,under investigation,PSI Anand Kulkarni,"Cheating / Online Fraud reported at Peenya, Bengaluru North on 2025-07-14: the suspect posed as a bank official and obtained the OTP over a phone call."
