link_id,person_id,CaseMasterID,role,source_table,source_row_id
L-00057,P-0088,18,accused,Accused,21
L-00058,P-0067,18,accused,Accused,22
L-00059,P-0101,19,complainant,ComplainantDetails,19
L-00060,P-0101,19,victim,Victim,19
L-00061,P-0167,20,complainant,ComplainantDetails,20
L-00062,P-0255,20,victim,Victim,20
L-00063,P-0068,20,accused,Accused,23
L-00064,P-0005,20,accused,Accused,24
L-00065,P-0279,21,complainant,ComplainantDetails,21
L-00066,P-0279,21,victim,Victim,21
L-00067,P-0065,21,accused,Accused,25
L-00068,P-0067,21,accused,Accused,26
L-00069,P-0025,21,accused,Accused,27
L-00070,P-0229,22,complainant,ComplainantDetails,22
L-00071,P-0229,22,victim,Victim,22
L-00072,P-0059,22,accused,Accused,28
L-00073,P-0011,22,accused,Accused,29
L-00074,P-0302,23,complainant,ComplainantDetails,23
L-00075,P-0269,23,victim,Victim,23
L-00076,P-0016,23,accused,Accused,30
L-00077,P-0224,24,complainant,ComplainantDetails,24
L-00078,P-0224,24,victim,Victim,24
L-00079,P-0075,24,accused,Accused,31
L-00080,P-0324,25,complainant,ComplainantDetails,25
L-00081,P-0284,25,victim,Victim,25
L-00082,P-0117,26,complainant,ComplainantDetails,26
L-00083,P-0117,26,victim,Victim,26
L-00084,P-0251,27,complainant,ComplainantDetails,27
L-00085,P-0251,27,victim,Victim,27
L-00086,P-0129,28,complainant,ComplainantDetails,28
L-00087,P-0129,28,victim,Victim,28
L-00088,P-0023,28,accused,Accused,32
L-00089,P-0248,29,complainant,ComplainantDetails,29
L-00090,P-0248,29,victim,Victim,29
L-00091,P-0208,30,complainant,ComplainantDetails,30
L-00092,P-0208,30,victim,Victim,30
L-00093,P-0086,30,accused,Accused,33
L-00094,P-0066,30,accused,Accused,34
L-00095,P-0200,31,complainant,ComplainantDetails,31
L-00096,P-0200,31,victim,Victim,31
L-00097,P-0011,31,accused,Accused,35
L-00098,P-0326,32,complainant,ComplainantDetails,32
L-00099,P-0326,32,victim,Victim,32
L-00100,P-0166,33,complainant,ComplainantDetails,33
L-00101,P-0166,33,victim,Victim,33
L-00102,P-0043,33,accused,Accused,36
L-00103,P-0240,34,complainant,ComplainantDetails,34
L-00104,P-0240,34,victim,Victim,34
L-00105,P-0041,34,accused,Accused,37
L-00106,P-0082,34,accused,Accused,38
L-00107,P-0144,35,complainant,ComplainantDetails,35
L-00108,P-0144,35,victim,Victim,35
L-00109,P-0044,35,accused,Accused,39
L-00110,P-0060,35,accused,Accused,40
L-00111,P-0119,36,complainant,ComplainantDetails,36
L-00112,P-0119,36,victim,Victim,36
L-00113,P-0043,36,accused,Accused,41
L-00114,P-0026,36,accused,Accused,42
L-00115,P-0070,36,accused,Accused,43
L-00116,P-0128,37,complainant,ComplainantDetails,37
L-00117,P-0229,37,victim,Victim,37
L-00118,P-0030,37,accused,Accused,44
L-00119,P-0235,38,complainant,ComplainantDetails,38
L-00120,P-0235,38,victim,Victim,38
L-00121,P-0012,38,accused,Accused,45
L-00122,P-0053,38,accused,Accused,46
L-00123,P-0166,39,complainant,ComplainantDetails,39
L-00124,P-0264,39,victim,Victim,39
L-00125,P-0031,39,accused,Accused,47
L-00126,P-0003,39,accused,Accused,48
L-00127,P-0288,40,complainant,ComplainantDetails,40
L-00128,P-0288,40,victim,Victim,40
L-00129,P-0035,40,accused,Accused,49
L-00130,P-0306,41,complainant,ComplainantDetails,41
L-00131,P-0306,41,victim,Victim,41
L-00132,P-0010,41,accused,Accused,50
L-00133,P-0078,41,accused,Accused,51
L-00134,P-0171,42,complainant,ComplainantDetails,42
L-00135,P-0171,42,victim,Victim,42
L-00136,P-0142,43,complainant,ComplainantDetails,43
L-00137,P-0142,43,victim,Victim,43
L-00138,P-0088,43,accused,Accused,52
L-00139,P-0020,43,accused,Accused,53
L-00140,P-0177,44,complainant,ComplainantDetails,44
L-00141,P-0177,44,victim,Victim,44
L-00142,P-0016,44,accused,Accused,54
L-00143,P-0069,44,accused,Accused,55
L-00144,P-0325,45,complainant,ComplainantDetails,45
L-00145,P-0325,45,victim,Victim,45
L-00146,P-0088,45,accused,Accused,56
L-00147,P-0074,45,accused,Accused,57
L-00148,P-0109,46,complainant,ComplainantDetails,46
L-00149,P-0305,46,victim,Victim,46
L-00150,P-0055,46,accused,Accused,58
L-00151,P-0050,46,accused,Accused,59
L-00152,P-0063,46,accused,Accused,60
L-00153,P-0230,47,complainant,ComplainantDetails,47
L-00154,P-0230,47,victim,Victim,47
L-00155,P-0085,47,accused,Accused,61
L-00156,P-0067,47,accused,Accused,62
L-00157,P-0102,48,complainant,ComplainantDetails,48
L-00158,P-0102,48,victim,Victim,48
L-00159,P-0242,49,complainant,ComplainantDetails,49
L-00160,P-0219,49,victim,Victim,49
L-00161,P-0021,49,accused,Accused,63
L-00162,P-0211,50,complainant,ComplainantDetails,50
L-00163,P-0211,50,victim,Victim,50
L-00164,P-0074,50,accused,Accused,64
L-00165,P-0077,50,accused,Accused,65
L-00166,P-0221,51,complainant,ComplainantDetails,51
L-00167,P-0211,51,victim,Victim,51
L-00168,P-0078,51,accused,Accused,66
L-00169,P-0077,51,accused,Accused,67
L-00170,P-0146,52,complainant,ComplainantDetails,52
L-00171,P-0146,52,victim,Victim,52
L-00172,P-0069,52,accused,Accused,68
L-00173,P-0115,53,complainant,ComplainantDetails,53
L-00174,P-0115,53,victim,Victim,53
L-00175,P-0290,54,complainant,ComplainantDetails,54
L-00176,P-0290,54,victim,Victim,54
L-00177,P-0177,55,complainant,ComplainantDetails,55
L-00178,P-0177,55,victim,Victim,55
L-00179,P-0065,55,accused,Accused,69
L-00180,P-0218,56,complainant,ComplainantDetails,56
L-00181,P-0218,56,victim,Victim,56
L-00182,P-0065,56,accused,Accused,70
L-00183,P-0074,56,accused,Accused,71
L-00184,P-0190,57,complainant,ComplainantDetails,57
L-00185,P-0190,57,victim,Victim,57
L-00186,P-0244,58,complainant,ComplainantDetails,58
L-00187,P-0244,58,victim,Victim,58
L-00188,P-0085,58,accused,Accused,72
L-00189,P-0041,58,accused,Accused,73
L-00190,P-0094,59,complainant,ComplainantDetails,59
L-00191,P-0094,59,victim,Victim,59
L-00192,P-0131,60,complainant,ComplainantDetails,60
L-00193,P-0138,60,victim,Victim,60
L-00194,P-0026,60,accused,Accused,74
L-00195,P-0065,60,accused,Accused,75
L-00196,P-0261,61,complainant,ComplainantDetails,61
L-00197,P-0261,61,victim,Victim,61
L-00198,P-0056,61,accused,Accused,76
L-00199,P-0316,62,complainant,ComplainantDetails,62
L-00200,P-0316,62,victim,Victim,62
L-00201,P-0234,63,complainant,ComplainantDetails,63
L-00202,P-0218,63,victim,Victim,63
L-00203,P-0085,63,accused,Accused,77
L-00204,P-0082,63,accused,Accused,78
L-00205,P-0292,64,complainant,ComplainantDetails,64
L-00206,P-0292,64,victim,Victim,64
L-00207,P-0084,64,accused,Accused,79
L-00208,P-0014,64,accused,Accused,80
L-00209,P-0167,65,complainant,ComplainantDetails,65
L-00210,P-0167,65,victim,Victim,65
L-00211,P-0242,66,complainant,ComplainantDetails,66
L-00212,P-0321,66,victim,Victim,66
L-00213,P-0088,66,accused,Accused,81
L-00214,P-0229,67,complainant,ComplainantDetails,67
L-00215,P-0229,67,victim,Victim,67
L-00216,P-0080,67,accused,Accused,82
L-00217,P-0228,68,complainant,ComplainantDetails,68
L-00218,P-0228,68,victim,Victim,68
L-00219,P-0001,68,accused,Accused,83
L-00220,P-0284,69,complainant,ComplainantDetails,69
L-00221,P-0284,69,victim,Victim,69
L-00222,P-0047,69,accused,Accused,84
L-00223,P-0006,69,accused,Accused,85
L-00224,P-0208,70,complainant,ComplainantDetails,70
L-00225,P-0208,70,victim,Victim,70
L-00226,P-0052,70,accused,Accused,86
L-00227,P-0027,70,accused,Accused,87
L-00228,P-0158,71,complainant,ComplainantDetails,71
L-00229,P-0124,71,victim,Victim,71
L-00230,P-0017,71,accused,Accused,88
L-00231,P-0202,72,complainant,ComplainantDetails,72
L-00232,P-0202,72,victim,Victim,72
L-00233,P-0056,72,accused,Accused,89
L-00234,P-0034,72,accused,Accused,90
L-00235,P-0210,73,complainant,ComplainantDetails,73
L-00236,P-0210,73,victim,Victim,73
L-00237,P-0052,73,accused,Accused,91
L-00238,P-0285,74,complainant,ComplainantDetails,74
L-00239,P-0211,74,victim,Victim,74
L-00240,P-0025,74,accused,Accused,92
L-00241,P-0067,74,accused,Accused,93
L-00242,P-0163,75,complainant,ComplainantDetails,75
L-00243,P-0163,75,victim,Victim,75
L-00244,P-0002,75,accused,Accused,94
L-00245,P-0052,75,accused,Accused,95
L-00246,P-0142,76,complainant,ComplainantDetails,76
L-00247,P-0130,76,victim,Victim,76
L-00248,P-0016,76,accused,Accused,96
L-00249,P-0045,76,accused,Accused,97
L-00250,P-0095,77,complainant,ComplainantDetails,77
L-00251,P-0095,77,victim,Victim,77
L-00252,P-0085,77,accused,Accused,98
L-00253,P-0311,78,complainant,ComplainantDetails,78
L-00254,P-0311,78,victim,Victim,78
L-00255,P-0085,78,accused,Accused,99
L-00256,P-0214,79,complainant,ComplainantDetails,79
L-00257,P-0214,79,victim,Victim,79
L-00258,P-0261,80,complainant,ComplainantDetails,80
L-00259,P-0118,80,victim,Victim,80
L-00260,P-0038,80,accused,Accused,100
L-00261,P-0247,81,complainant,ComplainantDetails,81
L-00262,P-0247,81,victim,Victim,81
L-00263,P-0031,81,accused,Accused,101
L-00264,P-0026,81,accused,Accused,102
L-00265,P-0043,81,accused,Accused,103
L-00266,P-0319,82,complainant,ComplainantDetails,82
L-00267,P-0313,82,victim,Victim,82
L-00268,P-0051,82,accused,Accused,104
L-00269,P-0119,83,complainant,ComplainantDetails,83
L-00270,P-0119,83,victim,Victim,83
L-00271,P-0078,83,accused,Accused,105
L-00272,P-0067,83,accused,Accused,106
L-00273,P-0247,84,complainant,ComplainantDetails,84
L-00274,P-0226,84,victim,Victim,84
L-00275,P-0085,84,accused,Accused,107
L-00276,P-0025,84,accused,Accused,108
L-00277,P-0098,85,complainant,ComplainantDetails,85
L-00278,P-0225,85,victim,Victim,85
L-00279,P-0076,85,accused,Accused,109
L-00280,P-0289,86,complainant,ComplainantDetails,86
L-00281,P-0328,86,victim,Victim,86
L-00282,P-0067,86,accused,Accused,110
L-00283,P-0045,86,accused,Accused,111
L-00284,P-0148,87,complainant,ComplainantDetails,87
L-00285,P-0148,87,victim,Victim,87
L-00286,P-0264,88,complainant,ComplainantDetails,88
L-00287,P-0264,88,victim,Victim,88
L-00288,P-0069,88,accused,Accused,112
L-00289,P-0084,88,accused,Accused,113
L-00290,P-0262,89,complainant,ComplainantDetails,89
L-00291,P-0262,89,victim,Victim,89
L-00292,P-0106,90,complainant,ComplainantDetails,90
L-00293,P-0106,90,victim,Victim,90
L-00294,P-0082,90,accused,Accused,114
L-00295,P-0003,90,accused,Accused,115
L-00296,P-0168,91,complainant,ComplainantDetails,91
L-00297,P-0168,91,victim,Victim,91
L-00298,P-0025,91,accused,Accused,116
L-00299,P-0085,91,accused,Accused,117
L-00300,P-0253,92,complainant,ComplainantDetails,92
L-00301,P-0253,92,victim,Victim,92
L-00302,P-0020,92,accused,Accused,118
L-00303,P-0091,93,complainant,ComplainantDetails,93
L-00304,P-0212,93,victim,Victim,93
L-00305,P-0077,93,accused,Accused,119
L-00306,P-0262,94,complainant,ComplainantDetails,94
L-00307,P-0262,94,victim,Victim,94
L-00308,P-0101,95,complainant,ComplainantDetails,95
L-00309,P-0101,95,victim,Victim,95
L-00310,P-0086,95,accused,Accused,120
L-00311,P-0121,96,complainant,ComplainantDetails,96
L-00312,P-0121,96,victim,Victim,96
L-00313,P-0002,96,accused,Accused,121
L-00314,P-0066,96,accused,Accused,122
L-00315,P-0315,97,complainant,ComplainantDetails,97
L-00316,P-0315,97,victim,Victim,97
L-00317,P-0005,97,accused,Accused,123
L-00318,P-0083,97,accused,Accused,124
L-00319,P-0257,98,complainant,ComplainantDetails,98
L-00320,P-0257,98,victim,Victim,98
L-00321,P-0133,99,complainant,ComplainantDetails,99
L-00322,P-0133,99,victim,Victim,99
L-00323,P-0198,100,complainant,ComplainantDetails,100
L-00324,P-0198,100,victim,Victim,100
L-00325,P-0002,100,accused,Accused,125
L-00326,P-0210,101,complainant,ComplainantDetails,101
L-00327,P-0121,101,victim,Victim,101
L-00328,P-0068,101,accused,Accused,126
L-00329,P-0023,101,accused,Accused,127
L-00330,P-0216,102,complainant,ComplainantDetails,102
L-00331,P-0216,102,victim,Victim,102
L-00332,P-0227,103,complainant,ComplainantDetails,103
L-00333,P-0293,103,victim,Victim,103
L-00334,P-0159,104,complainant,ComplainantDetails,104
L-00335,P-0159,104,victim,Victim,104
L-00336,P-0082,104,accused,Accused,128
L-00337,P-0078,104,accused,Accused,129
L-00338,P-0278,105,complainant,ComplainantDetails,105
L-00339,P-0278,105,victim,Victim,105
L-00340,P-0028,105,accused,Accused,130
L-00341,P-0231,106,complainant,ComplainantDetails,106
L-00342,P-0264,106,victim,Victim,106
L-00343,P-0085,106,accused,Accused,131
L-00344,P-0025,106,accused,Accused,132
L-00345,P-0305,107,complainant,ComplainantDetails,107
L-00346,P-0305,107,victim,Victim,107
L-00347,P-0023,107,accused,Accused,133
L-00348,P-0087,107,accused,Accused,134
L-00349,P-0139,108,complainant,ComplainantDetails,108
L-00350,P-0220,108,victim,Victim,108
L-00351,P-0171,109,complainant,ComplainantDetails,109
L-00352,P-0206,109,victim,Victim,109
L-00353,P-0017,109,accused,Accused,135
L-00354,P-0004,109,accused,Accused,136
L-00355,P-0185,110,complainant,ComplainantDetails,110
L-00356,P-0117,110,victim,Victim,110
L-00357,P-0015,110,accused,Accused,137
L-00358,P-0248,111,complainant,ComplainantDetails,111
L-00359,P-0248,111,victim,Victim,111
L-00360,P-0088,111,accused,Accused,138
L-00361,P-0097,112,complainant,ComplainantDetails,112
L-00362,P-0097,112,victim,Victim,112
L-00363,P-0042,112,accused,Accused,139
L-00364,P-0030,112,accused,Accused,140
L-00365,P-0169,113,complainant,ComplainantDetails,113
L-00366,P-0169,113,victim,Victim,113
L-00367,P-0234,114,complainant,ComplainantDetails,114
L-00368,P-0234,114,victim,Victim,114
L-00369,P-0084,114,accused,Accused,141
L-00370,P-0305,115,complainant,ComplainantDetails,115
L-00371,P-0199,115,victim,Victim,115
L-00372,P-0102,116,complainant,ComplainantDetails,116
L-00373,P-0102,116,victim,Victim,116
L-00374,P-0020,116,accused,Accused,142
L-00375,P-0321,117,complainant,ComplainantDetails,117
L-00376,P-0280,117,victim,Victim,117
L-00377,P-0188,118,complainant,ComplainantDetails,118
L-00378,P-0188,118,victim,Victim,118
L-00379,P-0106,119,complainant,ComplainantDetails,119
L-00380,P-0106,119,victim,Victim,119
L-00381,P-0253,120,complainant,ComplainantDetails,120
L-00382,P-0170,120,victim,Victim,120
L-00383,P-0243,121,complainant,ComplainantDetails,121
L-00384,P-0243,121,victim,Victim,121
L-00385,P-0076,121,accused,Accused,143
L-00386,P-0183,122,complainant,ComplainantDetails,122
L-00387,P-0183,122,victim,Victim,122
L-00388,P-0057,122,accused,Accused,144
L-00389,P-0052,122,accused,Accused,145
L-00390,P-0215,123,complainant,ComplainantDetails,123
L-00391,P-0289,123,victim,Victim,123
L-00392,P-0202,124,complainant,ComplainantDetails,124
L-00393,P-0202,124,victim,Victim,124
L-00394,P-0011,124,accused,Accused,146
L-00395,P-0049,124,accused,Accused,147
L-00396,P-0138,125,complainant,ComplainantDetails,125
L-00397,P-0138,125,victim,Victim,125
L-00398,P-0031,125,accused,Accused,148
L-00399,P-0074,125,accused,Accused,149
L-00400,P-0185,126,complainant,ComplainantDetails,126
L-00401,P-0185,126,victim,Victim,126
L-00402,P-0080,126,accused,Accused,150
L-00403,P-0108,127,complainant,ComplainantDetails,127
L-00404,P-0108,127,victim,Victim,127
L-00405,P-0026,127,accused,Accused,151
L-00406,P-0074,127,accused,Accused,152
L-00407,P-0148,128,complainant,ComplainantDetails,128
L-00408,P-0148,128,victim,Victim,128
L-00409,P-0316,129,complainant,ComplainantDetails,129
L-00410,P-0316,129,victim,Victim,129
L-00411,P-0047,129,accused,Accused,153
L-00412,P-0017,129,accused,Accused,154
L-00413,P-0178,130,complainant,ComplainantDetails,130
L-00414,P-0178,130,victim,Victim,130
L-00415,P-0044,130,accused,Accused,155
L-00416,P-0223,131,complainant,ComplainantDetails,131
L-00417,P-0143,131,victim,Victim,131
L-00418,P-0017,131,accused,Accused,156
L-00419,P-0028,131,accused,Accused,157
L-00420,P-0180,132,complainant,ComplainantDetails,132
L-00421,P-0180,132,victim,Victim,132
L-00422,P-0014,132,accused,Accused,158
L-00423,P-0247,133,complainant,ComplainantDetails,133
L-00424,P-0247,133,victim,Victim,133
L-00425,P-0246,134,complainant,ComplainantDetails,134
L-00426,P-0246,134,victim,Victim,134
L-00427,P-0039,134,accused,Accused,159
L-00428,P-0035,134,accused,Accused,160
L-00429,P-0232,135,complainant,ComplainantDetails,135
L-00430,P-0232,135,victim,Victim,135
L-00431,P-0177,136,complainant,ComplainantDetails,136
L-00432,P-0177,136,victim,Victim,136
L-00433,P-0084,136,accused,Accused,161
L-00434,P-0081,136,accused,Accused,162
L-00435,P-0303,137,complainant,ComplainantDetails,137
L-00436,P-0215,137,victim,Victim,137
L-00437,P-0021,137,accused,Accused,163
L-00438,P-0020,137,accused,Accused,164
L-00439,P-0185,138,complainant,ComplainantDetails,138
L-00440,P-0185,138,victim,Victim,138
L-00441,P-0030,138,accused,Accused,165
L-00442,P-0196,139,complainant,ComplainantDetails,139
L-00443,P-0196,139,victim,Victim,139
L-00444,P-0065,139,accused,Accused,166
L-00445,P-0085,139,accused,Accused,167
L-00446,P-0252,140,complainant,ComplainantDetails,140
L-00447,P-0252,140,victim,Victim,140
L-00448,P-0014,140,accused,Accused,168
L-00449,P-0025,140,accused,Accused,169
L-00450,P-0127,141,complainant,ComplainantDetails,141
L-00451,P-0296,141,victim,Victim,141
L-00452,P-0024,141,accused,Accused,170
L-00453,P-0011,141,accused,Accused,171
L-00454,P-0156,142,complainant,ComplainantDetails,142
L-00455,P-0156,142,victim,Victim,142
L-00456,P-0081,142,accused,Accused,172
L-00457,P-0003,142,accused,Accused,173
L-00458,P-0200,143,complainant,ComplainantDetails,143
L-00459,P-0200,143,victim,Victim,143
L-00460,P-0206,144,complainant,ComplainantDetails,144
L-00461,P-0206,144,victim,Victim,144
L-00462,P-0032,144,accused,Accused,174
L-00463,P-0086,144,accused,Accused,175
L-00464,P-0245,145,complainant,ComplainantDetails,145
L-00465,P-0245,145,victim,Victim,145
L-00466,P-0042,145,accused,Accused,176
L-00467,P-0015,145,accused,Accused,177
L-00468,P-0282,146,complainant,ComplainantDetails,146
L-00469,P-0282,146,victim,Victim,146
L-00470,P-0050,146,accused,Accused,178
L-00471,P-0055,146,accused,Accused,179
L-00472,P-0063,146,accused,Accused,180
L-00473,P-0330,147,complainant,ComplainantDetails,147
L-00474,P-0330,147,victim,Victim,147
L-00475,P-0080,147,accused,Accused,181
L-00476,P-0286,148,complainant,ComplainantDetails,148
L-00477,P-0121,148,victim,Victim,148
L-00478,P-0138,149,complainant,ComplainantDetails,149
L-00479,P-0244,149,victim,Victim,149
L-00480,P-0065,149,accused,Accused,182
L-00481,P-0025,149,accused,Accused,183
L-00482,P-0082,149,accused,Accused,184
L-00483,P-0134,150,complainant,ComplainantDetails,150
L-00484,P-0134,150,victim,Victim,150
L-00485,P-0257,151,complainant,ComplainantDetails,151
L-00486,P-0257,151,victim,Victim,151
L-00487,P-0078,151,accused,Accused,185
L-00488,P-0126,152,complainant,ComplainantDetails,152
L-00489,P-0126,152,victim,Victim,152
L-00490,P-0029,152,accused,Accused,186
L-00491,P-0276,153,complainant,ComplainantDetails,153
L-00492,P-0276,153,victim,Victim,153
L-00493,P-0087,153,accused,Accused,187
L-00494,P-0327,154,complainant,ComplainantDetails,154
L-00495,P-0327,154,victim,Victim,154
L-00496,P-0064,154,accused,Accused,188
L-00497,P-0234,155,complainant,ComplainantDetails,155
L-00498,P-0221,155,victim,Victim,155
L-00499,P-0013,155,accused,Accused,189
L-00500,P-0300,156,complainant,ComplainantDetails,156
L-00501,P-0300,156,victim,Victim,156
L-00502,P-0064,156,accused,Accused,190
L-00503,P-0030,156,accused,Accused,191
L-00504,P-0139,157,complainant,ComplainantDetails,157
L-00505,P-0139,157,victim,Victim,157
L-00506,P-0048,157,accused,Accused,192
L-00507,P-0228,158,complainant,ComplainantDetails,158
L-00508,P-0228,158,victim,Victim,158
L-00509,P-0024,158,accused,Accused,193
L-00510,P-0060,158,accused,Accused,194
L-00511,P-0302,159,complainant,ComplainantDetails,159
L-00512,P-0302,159,victim,Victim,159
L-00513,P-0230,160,complainant,ComplainantDetails,160
L-00514,P-0249,160,victim,Victim,160
L-00515,P-0082,160,accused,Accused,195
L-00516,P-0065,160,accused,Accused,196
L-00517,P-0067,160,accused,Accused,197
L-00518,P-0118,161,complainant,ComplainantDetails,161
L-00519,P-0118,161,victim,Victim,161
L-00520,P-0060,161,accused,Accused,198
L-00521,P-0042,161,accused,Accused,199
L-00522,P-0211,162,complainant,ComplainantDetails,162
L-00523,P-0211,162,victim,Victim,162
L-00524,P-0026,162,accused,Accused,200
L-00525,P-0170,163,complainant,ComplainantDetails,163
L-00526,P-0170,163,victim,Victim,163
L-00527,P-0098,164,complainant,ComplainantDetails,164
L-00528,P-0098,164,victim,Victim,164
L-00529,P-0050,164,accused,Accused,201
L-00530,P-0076,164,accused,Accused,202
L-00531,P-0055,164,accused,Accused,203
L-00532,P-0307,165,complainant,ComplainantDetails,165
L-00533,P-0307,165,victim,Victim,165
L-00534,P-0323,166,complainant,ComplainantDetails,166
L-00535,P-0115,166,victim,Victim,166
L-00536,P-0083,166,accused,Accused,204
L-00537,P-0329,167,complainant,ComplainantDetails,167
L-00538,P-0329,167,victim,Victim,167
L-00539,P-0014,167,accused,Accused,205
L-00540,P-0277,168,complainant,ComplainantDetails,168
L-00541,P-0194,168,victim,Victim,168
L-00542,P-0056,168,accused,Accused,206
L-00543,P-0131,169,complainant,ComplainantDetails,169
L-00544,P-0131,169,victim,Victim,169
L-00545,P-0257,170,complainant,ComplainantDetails,170
L-00546,P-0257,170,victim,Victim,170
L-00547,P-0115,171,complainant,ComplainantDetails,171
L-00548,P-0115,171,victim,Victim,171
L-00549,P-0005,171,accused,Accused,207
L-00550,P-0052,171,accused,Accused,208
L-00551,P-0327,172,complainant,ComplainantDetails,172
L-00552,P-0327,172,victim,Victim,172
L-00553,P-0015,172,accused,Accused,209
L-00554,P-0226,173,complainant,ComplainantDetails,173
L-00555,P-0226,173,victim,Victim,173
L-00556,P-0078,173,accused,Accused,210
L-00557,P-0025,173,accused,Accused,211
L-00558,P-0082,173,accused,Accused,212
L-00559,P-0131,174,complainant,ComplainantDetails,174
L-00560,P-0131,174,victim,Victim,174
L-00561,P-0043,174,accused,Accused,213
L-00562,P-0026,174,accused,Accused,214
L-00563,P-0070,174,accused,Accused,215
L-00564,P-0184,175,complainant,ComplainantDetails,175
L-00565,P-0184,175,victim,Victim,175
L-00566,P-0067,175,accused,Accused,216
L-00567,P-0215,176,complainant,ComplainantDetails,176
L-00568,P-0215,176,victim,Victim,176
L-00569,P-0166,177,complainant,ComplainantDetails,177
L-00570,P-0166,177,victim,Victim,177
L-00571,P-0078,177,accused,Accused,217
L-00572,P-0065,177,accused,Accused,218
L-00573,P-0194,178,complainant,ComplainantDetails,178
L-00574,P-0194,178,victim,Victim,178
L-00575,P-0109,179,complainant,ComplainantDetails,179
L-00576,P-0109,179,victim,Victim,179
L-00577,P-0223,180,complainant,ComplainantDetails,180
L-00578,P-0092,180,victim,Victim,180
L-00579,P-0055,180,accused,Accused,219
L-00580,P-0063,180,accused,Accused,220
L-00581,P-0050,180,accused,Accused,221
L-00582,P-0263,181,complainant,ComplainantDetails,181
L-00583,P-0263,181,victim,Victim,181
L-00584,P-0181,182,complainant,ComplainantDetails,182
L-00585,P-0181,182,victim,Victim,182
L-00586,P-0082,182,accused,Accused,222
L-00587,P-0085,182,accused,Accused,223
L-00588,P-0297,183,complainant,ComplainantDetails,183
L-00589,P-0204,183,victim,Victim,183
L-00590,P-0289,184,complainant,ComplainantDetails,184
L-00591,P-0289,184,victim,Victim,184
L-00592,P-0054,184,accused,Accused,224
L-00593,P-0081,184,accused,Accused,225
L-00594,P-0248,185,complainant,ComplainantDetails,185
L-00595,P-0248,185,victim,Victim,185
L-00596,P-0082,185,accused,Accused,226
L-00597,P-0010,185,accused,Accused,227
L-00598,P-0177,186,complainant,ComplainantDetails,186
L-00599,P-0177,186,victim,Victim,186
L-00600,P-0318,187,complainant,ComplainantDetails,187
L-00601,P-0318,187,victim,Victim,187
L-00602,P-0084,187,accused,Accused,228
L-00603,P-0069,187,accused,Accused,229
L-00604,P-0091,188,complainant,ComplainantDetails,188
L-00605,P-0244,188,victim,Victim,188
L-00606,P-0003,188,accused,Accused,230
L-00607,P-0195,189,complainant,ComplainantDetails,189
L-00608,P-0195,189,victim,Victim,189
L-00609,P-0215,190,complainant,ComplainantDetails,190
